,index,user_id,상품명,item_option,user_rank,star,write_date,발색력,지속력,발림성,수분감,올리브영 후기 유무,광고 유무,user_type1,user_type3,user_type4,탑리뷰어,user_type2,user_type5,item_no,user_no,rating,브랜드,가격,평균별점,발색력점수,지속력점수,발림성점수,수분감점수
76,76,말랑말랑삼식이,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,,4.0,2022-09-29,3.0,3.0,2.0,2.0,,0,,,,0,,,12,875,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
77,77,메메메,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,TOP 173,5.0,2022-09-29,3.0,2.0,3.0,1.0,,0,복합성,트러블,,0,,민감성,12,895,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
78,78,비가개인뒤,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-24,3.0,2.0,3.0,2.0,,0,,,,0,,,12,1052,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
79,79,이디,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 008 도미넌트,TOP 25,4.0,2022-09-22,2.0,1.0,3.0,2.0,,0,건성,아토피,주름,0,봄웜톤,,12,1458,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
80,80,멍멍꿀,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 001 베얼리,,5.0,2022-09-22,3.0,3.0,3.0,2.0,,0,,,,0,,,12,889,11.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
81,81,hio9090,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 004 어펙션,TOP 65,5.0,2022-09-21,3.0,2.0,1.0,1.0,,0,,,,1,,,12,250,7.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
82,82,코코바닐라,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 395,4.0,2022-09-20,3.0,2.0,3.0,2.0,,0,,,,1,,,12,1649,10.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
83,83,코덕이최고야,[NEW] 무지개맨션 오브제 리퀴드,,,5.0,2022-09-11,3.0,2.0,3.0,1.0,,1,,,,0,,,12,1639,9.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
84,84,삼겹돼지김치찜,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 003 스트레인저,TOP 571,5.0,2022-09-11,2.0,2.0,2.0,2.0,,0,복합성,민감성,트러블,0,웜톤,,12,1095,8.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
85,85,누데,[NEW] 무지개맨션 오브제 리퀴드,[옵션] 009 퍼셉션,,5.0,2022-09-10,3.0,1.0,2.0,1.0,,0,,,,0,,,12,705,7.0,무지개맨션,18000,4.7,1.37,2.18,2.54,1.8299999999999998
