,user_no,상품명,star
186,85,[NEW] 롬앤 듀이풀 워터 틴트,5.0
187,122,[NEW] 롬앤 듀이풀 워터 틴트,5.0
188,885,[NEW] 롬앤 듀이풀 워터 틴트,5.0
189,185,[NEW] 롬앤 듀이풀 워터 틴트,5.0
190,680,[NEW] 롬앤 듀이풀 워터 틴트,5.0
191,842,[NEW] 롬앤 듀이풀 워터 틴트,4.0
192,1062,[NEW] 롬앤 듀이풀 워터 틴트,5.0
193,1555,[NEW] 롬앤 듀이풀 워터 틴트,4.0
194,957,[NEW] 롬앤 듀이풀 워터 틴트,5.0
195,1721,[NEW] 롬앤 듀이풀 워터 틴트,5.0
196,5,[NEW] 롬앤 듀이풀 워터 틴트,5.0
197,885,[NEW] 롬앤 듀이풀 워터 틴트,3.0
198,272,[NEW] 롬앤 듀이풀 워터 틴트,5.0
199,1473,[NEW] 롬앤 듀이풀 워터 틴트,4.0
200,1103,[NEW] 롬앤 듀이풀 워터 틴트,5.0
201,1131,[NEW] 롬앤 듀이풀 워터 틴트,5.0
202,594,[NEW] 롬앤 듀이풀 워터 틴트,4.0
203,594,[NEW] 롬앤 듀이풀 워터 틴트,5.0
204,713,[NEW] 롬앤 듀이풀 워터 틴트,3.0
205,502,[NEW] 롬앤 듀이풀 워터 틴트,5.0
206,576,[NEW] 롬앤 듀이풀 워터 틴트,4.0
207,1014,[NEW] 롬앤 듀이풀 워터 틴트,5.0
208,1721,[NEW] 롬앤 듀이풀 워터 틴트,5.0
209,1778,[NEW] 롬앤 듀이풀 워터 틴트,5.0
210,1666,[NEW] 롬앤 듀이풀 워터 틴트,5.0
211,353,[NEW] 롬앤 듀이풀 워터 틴트,4.0
212,1381,[NEW] 롬앤 듀이풀 워터 틴트,5.0
213,405,[NEW] 롬앤 듀이풀 워터 틴트,5.0
214,1226,[NEW] 롬앤 듀이풀 워터 틴트,5.0
215,1331,[NEW] 롬앤 듀이풀 워터 틴트,5.0
216,1260,[NEW] 롬앤 듀이풀 워터 틴트,5.0
217,170,[NEW] 롬앤 듀이풀 워터 틴트,5.0
218,508,[NEW] 롬앤 듀이풀 워터 틴트,3.0
219,185,[NEW] 롬앤 듀이풀 워터 틴트,5.0
220,1157,[NEW] 롬앤 듀이풀 워터 틴트,5.0
221,122,[NEW] 롬앤 듀이풀 워터 틴트,5.0
222,922,[NEW] 롬앤 듀이풀 워터 틴트,5.0
223,1812,[NEW] 롬앤 듀이풀 워터 틴트,5.0
224,1312,[NEW] 롬앤 듀이풀 워터 틴트,5.0
225,1752,[NEW] 롬앤 듀이풀 워터 틴트,5.0
226,865,[NEW] 롬앤 듀이풀 워터 틴트,5.0
227,1306,[NEW] 롬앤 듀이풀 워터 틴트,4.0
228,1276,[NEW] 롬앤 듀이풀 워터 틴트,5.0
229,957,[NEW] 롬앤 듀이풀 워터 틴트,5.0
